ROC-AUC,F1,Recall,Precision,Accuracy,Modèle,Pipeline
0.839138184918236,0.6182572614107884,0.7967914438502673,0.5050847457627119,0.7388218594748048,LogisticRegression,Baseline
0.8241636311968792,0.5407066052227343,0.47058823529411764,0.6353790613718412,0.7877927608232789,RandomForest,Baseline
0.8443695264667131,0.5843373493975904,0.5187165775401069,0.6689655172413793,0.8041163946061036,GradientBoosting,Baseline
0.734166472913276,0.4868421052631579,0.5935828877005348,0.41263940520446096,0.6678495386799148,SVM,Baseline
0.8467940272288098,0.6221294363256785,0.7967914438502673,0.5102739726027398,0.7430801987224982,LogisticRegression,Prétraitement
0.8218295486837687,0.5355029585798816,0.4839572192513369,0.5993377483443708,0.7771469127040455,RandomForest,Prétraitement
0.8426102456792995,0.5709969788519638,0.5053475935828877,0.65625,0.7984386089425124,GradientBoosting,Prétraitement
0.8275556072231265,0.6321353065539113,0.7994652406417112,0.5227272727272727,0.7530163236337828,SVM,Prétraitement
0.8469089875739492,0.6227795193312434,0.7967914438502673,0.5111492281303602,0.7437899219304471,LogisticRegression,Prép+Sélection
0.8229507349711954,0.5369532428355958,0.47593582887700536,0.615916955017301,0.7821149751596878,RandomForest,Prép+Sélection
0.842478493373634,0.5744360902255639,0.5106951871657754,0.6563573883161512,0.7991483321504613,GradientBoosting,Prép+Sélection
0.8259190369164795,0.6276150627615062,0.8021390374331551,0.5154639175257731,0.7473385379701917,SVM,Prép+Sélection
